UPOS,gpt4o,gpt35t,perplexity,claude,human
ADJ,0.9%,0.6%,1.1%,0.7%,1.1%
ADP,11.7%,11.6%,11.6%,13.6%,11.4%
ADV,12.6%,11.6%,9.9%,13.1%,12.8%
AUX,3.5%,3.8%,3.8%,3.2%,3.6%
CCONJ,3.1%,3.8%,3.7%,1.8%,2.6%
DET,13.9%,13.8%,14.5%,13.8%,11.1%
INTJ,0.0%,0.0%,0.0%,0.0%,0.0%
NOUN,19.6%,20.4%,19.8%,20.4%,16.1%
NUM,1.0%,0.9%,1.6%,1.6%,2.5%
PART,0.4%,0.4%,0.4%,0.3%,0.5%
PRON,3.9%,4.1%,3.2%,3.3%,4.7%
PROPN,7.2%,6.5%,9.2%,8.8%,8.7%
PUNCT,11.1%,11.0%,11.0%,9.6%,14.2%
SCONJ,0.4%,0.5%,0.4%,0.2%,0.5%
SPACE,2.0%,1.4%,2.4%,1.7%,1.6%
VERB,8.3%,9.2%,7.1%,7.6%,7.8%
X,0.4%,0.3%,0.3%,0.2%,0.8%
